Index,Category_EN,SubCategory_EN,Category_FR,SubCategory_FR,Question_EN,Answers_EN,Question_FR,Answers_FR
43,American Government,System of Government,Gouvernement Américain,Régime politique,"Qui signe les projets de loi, pour qu'ils deviennent des lois?",,,Le Président
44,American Government,System of Government,Gouvernement Américain,Régime politique,Who vetoes bills? *,The President (of the United States),,
44,American Government,System of Government,Gouvernement Américain,Régime politique,Qui met son veto aux lois? *,,,Le Président
45,American Government,System of Government,Gouvernement Américain,Régime politique,Who appoints federal judges?,The President (of the United States),Qui nomme les juges fédéraux?,Le Président (des États-Unis)
46,American Government,System of Government,Gouvernement Américain,Régime politique,The executive branch has many parts. Name one.,"President (of the United States), Cabinet, Federal departments and agencies",L’exécutif a plusieurs composantes. Nommez-en une.,Le Président (des États-Unis)
47,American Government,System of Government,Gouvernement Américain,Régime politique,What does the President’s Cabinet do?,Advises the President (of the United States),Que fait le Cabinet du Président ?,Conseille le Président
48,American Government,System of Government,Gouvernement Américain,Régime politique,What are two Cabinet-level positions?,"Attorney General, Secretary of Agriculture, Secretary of Commerce, Secretary of Defense, Secretary of Education, Secretary of Energy, Secretary of Health and Human Services, Secretary of Homeland Security, Secretary of Housing and Urban Development, Secretary of the Interior, Secretary of Labor, Secretary of State, Secretary of Transportation, Secretary of the Treasury, Secretary of Veterans Affairs, Vice President (of the United States), Administrator of the Environmental Protection Agency, Administrator of the Small Business Administration, Director of the Central Intelligence Agency, Director of the Office of Management and Budget, Director of National Intelligence, United States Trade Representative",Quels sont deux postes de niveau ministériel ?,"Secrétaire à l'Agriculture, Secrétaire au Commerce, Secrétaire à la Défense, Secrétaire à l'Éducation, Secrétaire à l'Énergie, Secrétaire à la Santé et aux services sociaux, Secrétaire à la Sécurité intérieure, Secrétaire au Logement et au développement urbain, Secrétaire à l'Intérieur, Secrétaire au Travail, Secrétaire d'État, Secrétaire aux Transports, Secrétaire du Trésor, Secrétaire aux Affaires des anciens combattants, Procureur général, Vice-président"
49,American Government,System of Government,Gouvernement Américain,Régime politique,Why is the Electoral College important?,"It decides who is elected president., It provides a compromise between the popular election of the president and congressional selection.",Pourquoi le Collège électoral est-il important?,"Il décide qui est élu président., Il permet un compromis entre l’élection du président par les citoyens et les choix du Congrès."
50,American Government,System of Government,Gouvernement Américain,Régime politique,What is one part of the judicial branch?,"Supreme Court, Federal Courts",,
50,American Government,System of Government,Gouvernement Américain,Régime politique,Quelle est la composante du pouvoir judiciaire?,,,"La Cour suprême, Le tribunal fédéral"
51,American Government,System of Government,Gouvernement Américain,Régime politique,What does the judicial branch do?,"Reviews laws, Explains laws, Resolves disputes (disagreements) about the law, Decides if a law goes against the (U.S.) Constitution",Quel est le rôle du pouvoir judiciaire?,révise les lois
52,American Government,System of Government,Gouvernement Américain,Régime politique,What is the highest court in the United States? *,Supreme Court,Quelle est la plus haute instance judiciaire aux États-Unis ? *,la Cour suprême
53,American Government,System of Government,Gouvernement Américain,Régime politique,How many seats are on the Supreme Court?,Nine (9),Combien de sièges y a-t-il à la Cour suprême?,
54,American Government,System of Government,Gouvernement Américain,Régime politique,How many Supreme Court justices are usually needed to decide a case?,Five (5),"En général, combien faut-il de juges à la Cour suprême pour statuer sur une affaire?",
55,American Government,System of Government,Gouvernement Américain,Régime politique,How long do Supreme Court justices serve?,"(For) life, Lifetime appointment, (Until) retirement",Combien de temps dure le mandat des juges à la Cour suprême?,"(À) vie, Nomination à vie, (Jusqu’à) la retraite"
56,American Government,System of Government,Gouvernement Américain,Régime politique,Supreme Court justices serve for life. Why?,"To be independent (of politics), To limit outside (political) influence",Les juges à la Cour suprême siègent à vie. Pourquoi?,"Pour être indépendants (de la politique), Pour limiter l’influence (politique) extérieure"
57,American Government,System of Government,Gouvernement Américain,Régime politique,Who is the Chief Justice of the United States now?,Visit uscis.gov/citizenship/testupdates for the name of the Chief Justice of the United States.,"Qui est le juge en chef des États-Unis, à l'heure actuelle?",Visitez uscis.gov/citizenship/testupdates pour le nom du juge en chef des États-Unis.
58,American Government,System of Government,Gouvernement Américain,Régime politique,Name one power that is only for the federal government.,"Print paper money, Mint coins, Declare war, Create an army, Make treaties, Set foreign policy",Nommez un pouvoir détenu uniquement par le gouvernement fédéral.,
59,American Government,System of Government,Gouvernement Américain,Régime politique,Name one power that is only for the states.,"Provide schooling and education, Provide protection (police), Provide safety (fire departments), Give a driver’s license, Approve zoning and land use",Nommez un pouvoir détenu uniquement par les États.,assurer la scolarisation et l'éducation
60,American Government,System of Government,Gouvernement Américain,Régime politique,What is the purpose of the 10th Amendment?,(It states that the) powers not given to the federal government belong to the states or to the people.,Quel est l'objectif du 10ème amendement?,(Il précise que) les pouvoirs non octroyés au gouvernement fédéral sont réservés aux États ou au peuple.
61,American Government,System of Government,Gouvernement Américain,Régime politique,Who is the governor of your state now? *,Answers will vary. [District of Columbia residents should answer that D.C. does not have a governor.],"Qui est le gouverneur de votre État, à l'heure actuelle? *",Les réponses varieront. [Les résidents du District de Columbia devraient répondre que le District n’a pas de gouverneur.]
62,American Government,System of Government,Gouvernement Américain,Régime politique,What is the capital of your state?,Answers will vary. [District of Columbia residents should answer that D.C. is not a state and does not have a capital. Residents of U.S. territories should name the capital of the territory.],Quelle est la capitale de votre État?,"Les réponses varieront. [Les habitants du district de Columbia devraient répondre que le District de Columbia n’est pas un État, et n’a pas de capitale. Les résidents des territoires américains doivent nommer la capitale du territoire.]"
63,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,There are four amendments to the U.S. Constitution about who can vote. Describe one of them.,"Citizens eighteen (18) and older (can vote)., You don’t have to pay (a poll tax) to vote., Any citizen can vote. (Women and men can vote.), A male citizen of any race (can vote).",La Constitution contient quatre amendements concernant les personnes pouvant voter. Décrivez-en un d'entre eux.,Les citoyens âgés de dix-huit (18) ans et plus (peuvent voter).
64,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,"Who can vote in federal elections, run for federal office, and serve on a jury in the United States?","Citizens, Citizens of the United States, U.S. citizens","Qui peut voter aux élections fédérales, se présenter aux élections du Bureau fédéral et siéger en tant que juré aux États-Unis?",
65,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,What are three rights of everyone living in the United States?,"Freedom of expression, Freedom of speech, Freedom of assembly, Freedom to petition the government, Freedom of religion, The right to bear arms",Quels sont les Trois droits dont disposent toutes les personnes résidant aux États-Unis?,"Liberté d’expression, Liberté de parole, Liberté de réunion, Liberté de présenter des demandes au gouvernement, Liberté de religion"
66,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,What do we show loyalty to when we say the Pledge of Allegiance? *,"The United States, The flag",À qui promettons-nous loyauté lorsque nous faisons le Serment d’allégeance au drapeau des États-Unis? *,aux États-Unis
67,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,Name two promises that new citizens make in the Oath of Allegiance.,"Give up loyalty to other countries, Defend the (U.S.) Constitution, Obey the laws of the United States, Serve in the military (if needed), Serve (help, do important work for) the nation (if needed), Be loyal to the United States",Nommez deux promesses que font les nouveaux citoyens au Serment d’allégeance.,"Abandonner toute loyauté à l’égard d’autres pays, Défendre la (des États-Unis), Obéir aux lois des États-Unis, Servir au sein de l’armée des États-Unis (si nécessaire), Servir (effectuer d’importants travaux pour) la nation (si nécessaire), Faire preuve de loyauté à l’égard des États-Unis"
68,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,How can people become United States citizens?,"Be born in the United States, under the conditions set by the 14th Amendment, Naturalize, Derive citizenship (under conditions set by Congress",Comment peut-on devenir citoyen américain?,"Être né aux États-Unis, dans les conditions fixées par le 14e amendement"
69,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,What are two examples of civic participation in the United States?,"Vote, Run for office, Join a political party, Help with a campaign, Join a civic group, Join a community group, Give an elected official your opinion (on an issue), Contact elected officials, Support or oppose an issue or policy, Write to a newspaper",Quels sont les deux exemples de participation citoyenne aux États-Unis?,
70,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,What is one way Americans can serve their country?,"Vote, Pay taxes, Obey the law, Serve in the military, Run for office, Work for local, state, or federal government",De quelle façon les Américains peuvent-ils servir leur pays?,
71,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,Why is it important to pay federal taxes?,"Required by law, All people pay to fund the federal government, Required by the (U.S.) Constitution (16th Amendment), Civic duty",Pourquoi est-il important de payer des impôts fédéraux ?,"Exigé par la loi, Tous les citoyens paient pour financer le gouvernement fédéral, Exigé par les (États-Unis) Constitution (16ème amendement)"
72,American Government,Rights and Responsibilities,Gouvernement Américain,Droits et responsabilités,It is important for all men age 18 through 25 to register for the Selective Service. Name one reason why.,"Required by law, Civic duty, Makes the draft fair, if needed",Il est important que tous les hommes âgés de 18 à 25 ans s'inscrivent au service sélectif. Nommez une raison.,Exigé par la loi
73,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,The colonists came to America for many reasons. Name one.,"Freedom, Political liberty, Religious freedom, Economic opportunity, Escape persecution",Les colons sont arrivés aux Etats-Unis pour plusieurs raisons. Nommez-en une.,"La liberté, La liberté politique, La liberté de culte, Les opportunités économiques, Pour échapper aux persécutions"
74,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,Who lived in America before the Europeans arrived? *,"American Indians, Native Americans",Qui vivaient en Amérique avant l’arrivée des Européens? *,"Indiens d'Amérique, Amérindiens"
75,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,What group of people was taken and sold as slaves?,"Africans, People from Africa",Quel groupe de personnes ont été emmenées en Amérique pour y être vendues en tant qu’esclaves?,
76,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,What war did the Americans fight to win independence from Britain?,"American Revolution, The (American) Revolutionary War, War for (American) Independence",Quelle guerre ont combattu les Américains pour obtenir leur indépendance face aux Britanniques?,"La Révolution américaine, La Guerre d’Indépendance (américaine), La guerre pour l’Indépendance américaine"
77,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,Name one reason why the Americans declared independence from Britain.,"High taxes, Taxation without representation, British soldiers stayed in Americans’ houses (boarding, quartering), They did not have self-government, Boston Massacre, Boston Tea Party (Tea Act), Stamp Act, Sugar Act, Townshend Acts, Intolerable (Coercive) Acts",Donnez une raison pour laquelle les Américains ont déclaré leur indépendance face aux Britanniques.,"Taxes très élevées, Taxation sans représentation, Les soldats britanniques restaient dans les maisons des Américains (embarquement, casernement)"
78,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,Who wrote the Declaration of Independence? *,(Thomas) Jefferson,Qui a rédigé la Déclaration d’Indépendance? *,
79,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,When was the Declaration of Independence adopted?,"July 4, 1776",Quand la Déclaration d’Indépendance a-t-elle été adoptée?,
80,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,The American Revolution had many important events. Name one.,"(Battle of) Bunker Hill, Declaration of Independence, Washington Crossing the Delaware (Battle of Trenton), (Battle of) Saratoga, Valley Forge (Encampment), (Battle of) Yorktown (British surrender at Yorktown)",La Révolution américaine a connu de nombreux événements importants. Nommez-en un.,
81,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,There were 13 original states. Name five.,"New Hampshire, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Delaware, Maryland, Virginia, North Carolina, South Carolina, Georgia",On comptait 13 États à l’origine. Citez-en cinq.,
82,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,What founding document was written in 1787?,(U.S.) Constitution,Quel document fondateur a été rédigé en 1787?,Constitution (des États-Unis)
83,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.,"(James) Madison, (Alexander) Hamilton, (John) Jay, Publius",Le Fédéraliste (Federalist Papers) a soutenu le passage à la Convention des États-Unis. Citez un des auteurs.,
84,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,Why were the Federalist Papers important?,"They helped people understand the (U.S.) Constitution., They supported passing the (U.S.) Constitution.",Pourquoi les Papiers fédéralistes étaient-ils importants?,"Ils ont aidé les gens à comprendre Constitution (des États-Unis)., Ils ont aidé à l'adoption de la Constitution (des États-Unis)."
85,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,Benjamin Franklin is famous for many things. Name one.,"Founded the first free public libraries, First Postmaster General of the United States, Helped write the Declaration of Independence, Inventor, U.S. diplomat",Benjamin Franklin est célèbre pour beaucoup de choses. Nommez-en un.,"Création des premières bibliothèques publiques gratuites, Premier maître général des Postes des États-Unis, Aide à la rédaction de la Déclaration d’indépendance"
86,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,George Washington is famous for many things. Name one. *,"“Father of Our Country”, First president of the United States, General of the Continental Army, President of the Constitutional Convention",George Washington est célèbre pour beaucoup de choses. Nommez-en un. *,"“Père de notre pays”, Premier président des États-Unis, Général de l’Armée continentale, Président de la Convention constitutionnelle"
87,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,Thomas Jefferson is famous for many things. Name one.,"Writer of the Declaration of Independence, Third president of the United States, Doubled the size of the United States (Louisiana Purchase), First Secretary of State, Founded the University of Virginia, Writer of the Virginia Statute on Religious Freedom",Thomas Jefferson est célèbre pour beaucoup de choses. Nommez-en un.,"Rédacteur de la Déclaration d’indépendance, Troisième président des États-Unis, A doublé la taille des États-Unis (achat de la Louisiane), Premier Secrétaire d’État, A fondé l’Université de Virginie, Rédacteur du Virginia Statute on Religious Freedom"
88,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,James Madison is famous for many things. Name one.,"“Father of the Constitution”, Fourth president of the United States, President during the War of 1812, One of the writers of the Federalist Papers",James Madison est célèbre pour beaucoup de choses. Nommez-en un.,"“Père de la Constitution”, Quatrième Président des États-Unis, Président pendant la guerre de 1812, Un des auteurs des Papiers Fédéralistes"
89,American History,Colonial Period and Independence,Histoire Américaine,Droits et responsabilités,Alexander Hamilton is famous for many things. Name one.,"First Secretary of the Treasury, One of the writers of the Federalist Papers, Helped establish the First Bank of the United States, Aide to General George Washington, Member of the Continental Congress",Alexander Hamilton est célèbre pour beaucoup de choses. Nommez-en un.,"Premier secrétaire du Trésor, Un des auteurs des Papiers Fédéralistes, Aide à la création de la First Bank of the United States, Aide au général George Washington, Membre du Congrès continental"
90,American History,1800s,Histoire Américaine,XIXème siècle,What territory did the United States buy from France in 1803?,"Louisiana Territory, Louisiana",Quel est le territoire que les États-Unis ont acquis auprès de la France en 1803?,
91,American History,1800s,Histoire Américaine,XIXème siècle,Name one war fought by the United States in the 1800s.,"War of 1812, Mexican-American War, Civil War, Spanish-American War",Citez une guerre menée par les États-Unis au cours du XIXème siècle.,
92,American History,1800s,Histoire Américaine,XIXème siècle,Name the U.S. war between the North and the South.,The Civil War,Citez le nom de la guerre qui a éclaté aux États-Unis entre le Nord et le Sud.,Guerre de Sécession
93,American History,1800s,Histoire Américaine,XIXème siècle,The Civil War had many important events. Name one.,"(Battle of) Fort Sumter, Emancipation Proclamation, (Battle of) Vicksburg, (Battle of) Gettysburg, Sherman’s March, (Surrender at) Appomattox, (Battle of) Antietam/Sharpsburg, Lincoln was assassinated.",La guerre civile a connu de nombreux événements importants. Nommez-en un.,
94,American History,1800s,Histoire Américaine,XIXème siècle,Abraham Lincoln is famous for many things. Name one. *,"Freed the slaves (Emancipation Proclamation), Saved (or preserved) the Union, Led the United States during the Civil War, 16th president of the United States, Delivered the Gettysburg Address",Abraham Lincoln est célèbre pour beaucoup de choses. Nommez-en une. *,"Libération des esclaves (Proclamation d’émancipation), Sauvegarde (ou préservation) de l’Union, A conduit les États-Unis pendant la guerre civile, 16e président des États-Unis, A prononcé le discours de Gettysburg"
95,American History,1800s,Histoire Américaine,XIXème siècle,What did the Emancipation Proclamation do?,"Freed the slaves, Freed slaves in the Confederacy, Freed slaves in the Confederate states, Freed slaves in most Southern states",Qu’est-ce que la Proclamation d’émancipation a-t-elle permis?,"Libération des esclaves, Libération des esclaves au sein de la Confédération, Libération des esclaves au sein des États confédérés, Libération des esclaves au sein de la plupart des États du Sud"
96,American History,1800s,Histoire Américaine,XIXème siècle,What U.S. war ended slavery?,The Civil War,Quelle guerre américaine a mis fin à l’esclavage?,
97,American History,1800s,Histoire Américaine,XIXème siècle,"What amendment says all persons born or naturalized in the United States, and subject to the jurisdiction thereof, are U.S. citizens?",14th Amendment,"Quel amendement stipule que toutes les personnes nées ou naturalisées aux États-Unis, et soumises à leur juridiction, sont des citoyens des États-Unis ?",14ème amendement
98,American History,1800s,Histoire Américaine,XIXème siècle,When did all men get the right to vote?,"After the Civil War, During Reconstruction, (With the) 15th Amendment, 1870",,
98,American History,1800s,Histoire Américaine,XIXème siècle,Quand est-ce que tous les hommes ont obtenu le droit de vote?,,,Après la guerre civile
99,American History,1800s,Histoire Américaine,XIXème siècle,Name one leader of the women’s rights movement in the 1800s.,"Susan B. Anthony, Elizabeth Cady Stanton, Sojourner Truth, Harriet Tubman, Lucretia Mott, Lucy Stone",Nommez une dirigeante du mouvement des droits des femmes dans les années 1800,
