Index,Category,SubCategory,Questions,Answers,rationale,Wrong
18,American Government,System of Government,What part of the federal government writes laws?,"(U.S.) Congress, (U.S. or national) legislature, Legislative branch","The U.S. Congress, made up of the Senate and House of Representatives, is the legislative branch of the federal government. Its primary responsibility is to create and pass laws for the country. This system is designed to ensure representation for all states and a thorough process for lawmaking.","(President) Executive Branch, (President or national) leader, Executive branch
(Supreme) Court, (Supreme or national) judiciary, Judicial branch
(State) Governor, (State or national) leader, State government"
19,American Government,System of Government,What are the two parts of the U.S. Congress?,Senate and House (of Representatives),"The U.S. Congress, the legislative branch of the federal government, is bicameral, meaning it is divided into two distinct chambers: the Senate and the House of Representatives. This structure was established by the U.S. Constitution to provide a system of checks and balances, ensuring different forms of representation and legislative processes. The Senate, with equal representation for each state, and the House of Representatives, with proportional representation based on population, work together to create and pass laws.","President and Vice President
Executive and Judicial (Branches)
Governors and Mayors"
20,American Government,System of Government,Name one power of the U.S. Congress. *,"Writes laws, Declares war, Makes the federal budget","The U.S. Congress, composed of the House of Representatives and the Senate, is the legislative branch of the federal government. Its primary role is to create laws for the country. Key powers include writing and passing legislation, officially declaring war, and approving the federal budget, which outlines government spending.","Appoints judges, Commands military, Vetoes legislation
Enforces laws, Interprets laws, Pardons criminals
Negotiates treaties, Collects taxes, Issues executive orders"
21,American Government,System of Government,How many U.S. senators are there?,One hundred (100),"The United States Senate is composed of 100 senators, with two senators representing each of the 50 states. These senators serve six-year terms.","Fifty (50)
Two hundred (200)
Seventy (70)"
22,American Government,System of Government,How long is a term for a U.S. senator?,Six (6) years,"Senators serve six-year terms to provide stability and allow them to focus on long-term policy without constant re-election pressure. This longer term distinguishes them from House Representatives, who serve two-year terms and are more directly responsive to immediate public sentiment.","Two (2) years
Four (4) years
Ten (10) years"
23,American Government,System of Government,Who is one of your state’s U.S. senators now?,[Answers will vary],"The answer to this question depends on the state where the person lives. Each U.S. state elects two senators to represent them in the U.S. Senate. Since there are 50 states, there are 100 U.S. senators in total.","[Incorrect answers will vary]
[No specific answer]
[Varies by state]"
24,American Government,System of Government,How many voting members are in the House of Representatives?,Four hundred thirty-five (435),"The House of Representatives is the lower chamber of the U.S. Congress. The number of voting members is fixed at 435 by law, with representation for each state determined by population. This number has been set since 1913.","Three hundred (300)
Five hundred (500)
Two hundred (200)"
25,American Government,System of Government,How long is a term for a member of the House of Representatives?,Two (2) years,"Members of the U.S. House of Representatives serve two-year terms. This shorter term length, compared to the six-year term for Senators, was designed to keep representatives more closely accountable to their constituents and to reflect public opinion more frequently. The entire House is up for re-election every two years.","Four (4) years
Six (6) years
One (1) year"
26,American Government,System of Government,Why do U.S. representatives serve shorter terms than U.S. senators?,To more closely follow public opinion,"Explanation: The framers of the U.S. Constitution designed the House of Representatives to be more responsive to the immediate will of the people. By having shorter terms, representatives are more frequently accountable to their constituents and public opinion.
Background: The U.S. Congress is bicameral, consisting of the House of Representatives and the Senate. Representatives serve two-year terms, while senators serve six-year terms. This difference in term lengths reflects the framers' intent to create a balance between direct popular representation and more deliberative, long-term legislative thinking.","To limit their power
To ensure a more stable government
To represent a smaller group of people"
27,American Government,System of Government,How many senators does each state have?,Two (2),"Each state, regardless of its population, has two senators to ensure equal representation for all states in the U.S. Senate. This structure was established by the U.S. Constitution to balance the power of larger and smaller states.","One (1)
Three (3)
Four (4)"
28,American Government,System of Government,Why does each state have two senators?,"Equal representation (for small states), The Great Compromise (Connecticut Compromise)","The United States Senate has two senators per state to ensure equal representation for all states, regardless of population size. This was a key part of ""The Great Compromise"" (also known as the Connecticut Compromise) during the Constitutional Convention, which balanced the interests of large and small states.","The President's order (to balance power), The Bill of Rights (for individual states)
To limit federal power (and increase state control), The Articles of Confederation (first constitution)
Population density (of larger states), The Unanimous Consent (from all delegates)"
29,American Government,System of Government,Name your U.S. representative.,[Answers will vary],"Explanation: The answer varies because each U.S. representative is elected to represent a specific district, so the correct answer depends on the test-taker's location.

Background: The U.S. House of Representatives is made up of members elected by the people of the 50 states. The number of representatives each state has is based on its population. These representatives serve two-year terms and are responsible for representing their constituents' interests in the federal government.","Nancy Pelosi
Kevin Mullin
Maxine Waters"
30,American Government,System of Government,What is the name of the Speaker of the House of Representatives now? *,[Answers will vary],"The Speaker of the House is the leader of the U.S. House of Representatives. This position is filled by an election at the beginning of each new Congress, or if the position becomes vacant. The current Speaker is Mike Johnson. The answer ""Answers will vary"" indicates that the name of the Speaker can change over time.","Kevin McCarthy
Nancy Pelosi
Paul Ryan"
31,American Government,System of Government,Who does a U.S. senator represent?,"Citizens of their state, People of their state",A U.S. Senator represents the entire population of their specific state in the federal government. This ensures that the interests and needs of all the state's citizens are voiced in national policy-making.,"The President, The Vice President
The Supreme Court, The House of Representatives
Foreign governments, Other countries"
32,American Government,System of Government,Who elects U.S. senators?,Citizens from their state,"In the United States, senators are directly elected by the citizens of their respective states. This process is a fundamental part of American democracy, allowing people to choose their representatives in the federal government. The 17th Amendment to the U.S. Constitution, ratified in 1913, established the direct election of senators by popular vote, replacing the previous system where state legislatures chose them.","The President
The House of Representatives
The Supreme Court"
33,American Government,System of Government,Who does a member of the House of Representatives represent?,"Citizens in their (congressional) district, Citizens in their district, People from their (congressional) district, People in their district","Explanation: Members of the House of Representatives represent the people living in specific geographic areas within their state, known as congressional districts. This ensures that the diverse needs and interests of different communities across the country are heard and addressed in the national legislature.

Background: The U.S. House of Representatives is designed to be the chamber of Congress closest to the people. Representatives are elected for two-year terms, and the number of representatives each state has is based on its population, as determined by the decennial census.","The President, The Supreme Court, The Senate
The Governor, The State Legislature, The Mayor
Foreign citizens, Citizens of other countries, Non-residents"
34,American Government,System of Government,Who elects members of the House of Representatives?,Citizens from their (congressional) district,"The U.S. House of Representatives is made up of members elected by the people. Each member represents a specific congressional district within their state, and only citizens living in that district can vote for their representative.","Senators from their (electoral) district
Governors from their (state) district
The President from their (national) district"
35,American Government,System of Government,Some states have more representatives than other states. Why?,"(Because of) the state’s population, (Because) they have more people, (Because) some states have more people","The number of representatives a state has in the House of Representatives is based on its population. States with more people get more representatives, ensuring that representation is proportional to the state's population. This system is part of the Great Compromise during the drafting of the U.S. Constitution, balancing the interests of both large and small states.","(Because of) the state’s size, (Because) they have more land, (Because) some states are bigger
(Because of) the state’s location, (Because) they are in the south, (Because) some states are warmer
(Because of) the state’s history, (Because) they were founded first, (Because) some states are older"
36,American Government,System of Government,The President of the United States is elected for how many years? *,Four (4) years,"The President of the United States serves a four-year term. This term limit was established by the 22nd Amendment to the U.S. Constitution, which was ratified in 1951, primarily to prevent any president from serving an excessive number of terms, following Franklin D. Roosevelt's four terms during a period of national crisis.","Two (2) years
Six (6) years
Eight (8) years"
37,American Government,System of Government,The President of the United States can serve only two terms. Why?,"(Because of) the 22nd Amendment, To keep the president from becoming too powerful","The 22nd Amendment limits the President to two terms to prevent any one individual from accumulating too much power, ensuring a balance of power and promoting democratic principles by allowing for regular changes in leadership.","(Because of) the 19th Amendment, To make the president more powerful
(Because of) the 13th Amendment, To allow the president to serve unlimited terms
(Because of) the 1st Amendment, To limit the president's power to one term"
38,American Government,System of Government,What is the name of the President of the United States now? *,[Answers will vary],"The current President of the United States changes over time, so the correct answer depends on when the question is asked. This question is often used for civics or citizenship tests to ensure test-takers are aware of the current political landscape.","George Washington
Abraham Lincoln
John F. Kennedy"
39,American Government,System of Government,What is the name of the Vice President of the United States now? *,[Answers will vary],"The Vice President of the United States changes based on election results. Therefore, the answer to this question will vary depending on when it is asked. The Vice President also serves as the President of the Senate.","Mike Pence
Joe Biden
Kamala Harris"
40,American Government,System of Government,"If the president can no longer serve, who becomes president?",The Vice President (of the United States),"Explanation: If the President can no longer serve, the Vice President takes over to maintain continuity in leadership. This is part of the presidential line of succession.","The Speaker of the House (of Representatives)
The Chief Justice (of the Supreme Court)
The Secretary of State (of the United States)"
41,American Government,System of Government,Name one power of the president.,"Signs bills into law, Vetoes bills, Enforces laws, Commander in Chief (of the military), Chief diplomat, Appoints federal judges","The President of the United States holds significant authority. Their powers include signing legislation into law (or vetoing it), enforcing those laws, serving as the Commander-in-Chief of the military, acting as the nation's chief diplomat, and appointing federal judges. These responsibilities are crucial for the functioning of the American government.","Declares war, Appoints state governors, Writes state laws
Approves state budgets, Commands state militias, Negotiates state treaties
Levies state taxes, Prints state money, Establishes state holidays"
42,American Government,System of Government,Who is Commander in Chief of the U.S. military?,The President (of the United States),"The President of the United States holds the title of Commander in Chief, meaning they are the supreme commander of all U.S. military forces. This role is outlined in the U.S. Constitution, establishing civilian control over the military to ensure that military power is subordinate to the democratic government.","The Speaker (of the House)
The Chief Justice (of the Supreme Court)
The Vice President (of the United States)"
43,American Government,System of Government,Who signs bills to become laws?,The President (of the United States),"The President of the United States plays a crucial role in the legislative process. After a bill passes both the House of Representatives and the Senate, it is sent to the President. The President can then sign the bill into law, veto it (reject it), or allow it to become law without a signature. A presidential signature is the final step in enacting a bill into law, making it enforceable across the country.","The Vice President (of the United States)
The Speaker (of the House)
The Chief Justice (of the Supreme Court)"
44,American Government,System of Government,Who vetoes bills? *,The President (of the United States),"Explanation: The President has the power to reject bills passed by Congress, preventing them from becoming law.
Background: This power is a key part of the system of checks and balances in the U.S. government, designed to ensure no single branch becomes too powerful.","The Speaker (of the House)
The Chief Justice (of the Supreme Court)
The Vice President (of the United States)"
45,American Government,System of Government,Who appoints federal judges?,The President (of the United States),"The President of the United States nominates federal judges. This is part of the system of checks and balances, where the Executive Branch (President) proposes judges, and the Legislative Branch (Senate) confirms these nominations. This ensures no single branch has too much power.","The Chief Justice (of the Supreme Court)
The Senate (of the United States)
The Speaker (of the House)"
46,American Government,System of Government,The executive branch has many parts. Name one.,"President (of the United States), Cabinet, Federal departments and agencies",The executive branch is responsible for implementing and enforcing the laws written by Congress. The President of the United States is the head of the executive branch. The Cabinet and federal departments and agencies help the President carry out these duties.,"Supreme Court (of the United States), Congress, State legislatures and agencies
Speaker (of the House), Senate, Local departments and agencies
Chief Justice (of the Supreme Court), House of Representatives, County departments and agencies"
47,American Government,System of Government,What does the President’s Cabinet do?,Advises the President (of the United States),"The President's Cabinet consists of the heads of executive departments, chosen by the President, and their primary role is to advise the President on matters related to their respective departments and broader national issues. This advisory body helps the President make informed decisions and execute policies.","Approves laws (from Congress)
Appoints Supreme Court Justices (for the country)
Commands the military (of the nation)"
48,American Government,System of Government,What are two Cabinet-level positions?,"Attorney General, Secretary of Agriculture, Secretary of Commerce, Secretary of Education, Secretary of Energy, Secretary of Health and Human Services, Secretary of Homeland Security, Secretary of Housing and Urban Development, Secretary of the Interior, Secretary of Labor, Secretary of State, Secretary of Transportation, Secretary of the Treasury, Secretary of Veterans Affairs, Secretary of War (Defense), Vice-President, Administrator of the Environmental Protection Agency, Administrator of the Small Business Administration, Director of the Central Intelligence Agency, Director of the Office of Management and Budget, Director of National Intelligence, United States Trade Representative","The Cabinet of the United States is composed of the most senior appointed officers of the executive branch of the federal government. The Cabinet's role is to advise the President on any subject he may require relating to the duties of their respective offices. These positions are often referred to as ""Cabinet-level"" because their holders are considered part of the President's inner circle of advisors.","Chief of Staff, Press Secretary, Ambassador to the United Nations
Federal Reserve Chairman, Supreme Court Justice, Speaker of the House
Director of the FBI, Commissioner of the IRS, Postmaster General"
49,American Government,System of Government,Why is the Electoral College important?,"It decides who is elected president., It provides a compromise between the popular election of the president and congressional selection.","The Electoral College is a system established by the U.S. Constitution for the indirect election of the president and vice president. Each state is allocated a number of electoral votes based on its total number of representatives in Congress (House + Senate). When citizens vote in a presidential election, they are technically voting for a slate of electors who have pledged to support a particular candidate.

The Electoral College is important for two main reasons:1.  It determines who becomes president, as a candidate must win a majority of the electoral votes (270 out of 538) to be elected.
2.  It represents a compromise by balancing the will of the popular vote with the representation of states, particularly those with smaller populations. This ensures that candidates need broad support across different regions and not just in densely populated areas.","It allows states to vote on amendments., It ensures that smaller states have less power than larger states.
It determines the number of representatives each state gets., It is responsible for approving presidential appointments.
It is an advisory body to the Supreme Court., It was established to limit the power of the federal government."
50,American Government,System of Government,What is one part of the judicial branch?,"Supreme Court, Federal Courts","The judicial branch is responsible for interpreting the laws of the United States and resolving legal disputes. It is made up of the Supreme Court, which is the highest court in the country, and federal courts, which handle cases involving federal law.","Legislative Branch, Executive Branch
President's Cabinet, State Governors
House of Representatives, Senate"
51,American Government,System of Government,What does the judicial branch do?,"Reviews laws, Explains laws, Resolves disputes (disagreements) about the law, Decides if a law goes against the (U.S.) Constitution","The Judicial Branch is responsible for interpreting the laws of the United States and for resolving legal disputes. It ensures that laws are applied fairly and that they adhere to the U.S. Constitution. Its main functions include: reviewing laws, explaining what laws mean, settling disagreements about laws, and deciding if a law violates the Constitution.","Enforces laws, Creates laws, Appoints judges (to the Supreme Court), Declares war
Elects the President, Collects taxes, Manages the military (and defense), Signs treaties
Negotiates with other countries, Prints money, Provides public education, Regulates trade"
52,American Government,System of Government,What is the highest court in the United States? *,Supreme Court,"The Supreme Court is the highest court in the United States and the final arbiter of law. It was established by the Judiciary Act of 1789 with six justices, and currently consists of one Chief Justice and eight Associate Justices. These justices are appointed by the President, confirmed by the Senate, and typically hold office for life. The Court has the power of judicial review, allowing it to interpret the Constitution and review acts of Congress.","District Court
Circuit Court
Appeals Court"
53,American Government,System of Government,How many seats are on the Supreme Court?,Nine (9),"The Supreme Court of the United States consists of a Chief Justice and eight Associate Justices, for a total of nine members. This number has been set since 1869. The justices are nominated by the President and confirmed by the Senate.","Seven (7)
Eight (8)
Ten (10)"
54,American Government,System of Government,How many Supreme Court justices are usually needed to decide a case?,Five (5),"The Supreme Court decides cases by majority vote, and a quorum of six Justices is required to decide a case. Therefore, if at least five of the nine Justices agree, their view prevails.","Two (2)
Four (4)
Six (6)"
55,American Government,System of Government,How long do Supreme Court justices serve?,"(For) life, Lifetime appointment, (Until) retirement","Supreme Court justices in the United States hold their positions for life, or until they choose to retire, resign, or are removed through the impeachment process. This lifetime tenure is designed to ensure their independence from political pressure, allowing them to make decisions based solely on the law without fear of losing their jobs.","(For) 2 years, 2-year term, (Until) next election
(For) 4 years, 4-year term, (Until) new president
(For) 6 years, 6-year term, (Until) re-election"
56,American Government,System of Government,Supreme Court justices serve for life. Why?,"To be independent (of politics), To limit outside (political) influence","Supreme Court justices are given lifetime tenure to ensure their decisions are based solely on legal principles, free from political pressure or the need to campaign for re-election. This independence helps maintain a non-partisan judiciary.","To be dependent (on politics), To increase outside (political) influence
To follow (political) parties, To ignore public (political) opinion
To serve for a (short) term, To be influenced (by politics)"
57,American Government,System of Government,Who is the Chief Justice of the United States now?,[Answers will vary],"The Chief Justice of the United States is John Roberts. The answer varies because the position is held for life, and the current Chief Justice may change due to retirement, resignation, or death.","Sonia Sotomayor
Elena Kagan
Amy Coney Barrett"
58,American Government,System of Government,Name one power that is only for the federal government.,"Print paper money, Mint coins, Declare war, Create an army, Make treaties, Set foreign policy","The federal government in the United States has specific powers that are not shared with state governments. These are called enumerated powers, meaning they are explicitly listed in the Constitution. For example, only the federal government can:  * Print paper money and mint coins: This ensures a uniform currency throughout the nation.
  * Declare war, create an army, and make treaties: These are crucial for national defense and foreign policy.
  * Set foreign policy: This allows the US to act as a single entity in international relations.","Issue driver's licenses, Provide schooling and education, Provide protection (police)
Tax people, Declare war, Create an army, Make treaties, Set foreign policy
Provide police and fire departments, Give a driver’s license, Sell a hunting license"
59,American Government,System of Government,Name one power that is only for the states.,"Provide schooling and education, Provide protection (police), Provide safety (fire departments), Give a driver’s license, Approve zoning and land use","In the American system of government, powers are divided between the federal (national) government and state governments. Some powers are exclusively for the states. These include establishing local governments, setting up schools, issuing licenses, and providing police and fire services. These powers allow states to address the specific needs of their residents.","Print money, Declare war, Create an army or navy
Make treaties, Go to war, Coin or print money
Regulate commerce, Establish post offices, Grant patents and copyrights"
60,American Government,System of Government,What is the purpose of the 10th Amendment?,(It states that the) powers not given to the federal government belong to the states or to the people.,"The 10th Amendment reinforces the principle of federalism, meaning powers not specifically granted to the federal government by the Constitution, nor prohibited to the states, are reserved for the states, or for the people. This ensures a balance of power between the federal and state governments.","(It states that the) powers not given to the federal government belong to the President or to the Supreme Court.
(It states that the) powers not given to the federal government belong to the cities or to the military.
(It states that the) powers not given to the federal government belong to the UN or to other countries."
61,American Government,System of Government,Who is the governor of your state now? *,[Answers will vary],"The answer to ""Who is the governor of your state now?"" will vary because each of the 50 states in the United States has its own governor. Governors are the chief executives of their respective states and are responsible for implementing state laws and overseeing the executive branch of the state government. Their specific duties and powers can differ from state to state, but generally include signing bills into law, proposing budgets, and commanding the state's National Guard.","Sarah Chen
David Rodriguez
Emily White"
62,American Government,Rights and Responsibilities,What is the capital of your state?,[Answers will vary],"Background: In the United States, each state has its own capital city, which is where the state government is located.
Explanation: The answer varies because there are 50 different states, and each person would provide the capital of their specific state.","George Washington
Abraham Lincoln
John F. Kennedy"
63,American Government,Rights and Responsibilities,There are four amendments to the U.S. Constitution about who can vote. Describe one of them.,"Citizens eighteen (18) and older (can vote)., You don’t have to pay (a poll tax) to vote., Any citizen can vote. (Women and men can vote.), A male citizen of any race (can vote).","The 15th, 19th, 24th, and 26th Amendments expanded voting rights in the U.S. to include citizens regardless of race, sex, or ability to pay a poll tax, and lowered the voting age to 18. Each amendment progressively broadened who could participate in the democratic process.","Only citizens 21 and older (can vote).
You have to pay (a poll tax) to vote.
Only male citizens (can vote)."
64,American Government,Rights and Responsibilities,"Who can vote in federal elections, run for federal office, and serve on a jury in the United States?","Citizens, Citizens of the United States, U.S. citizens","Explanation: Only citizens of the United States are granted the rights and responsibilities of voting in federal elections, running for federal office, and serving on a jury.

Background: These rights and responsibilities are fundamental to the American democratic system and are reserved for citizens to ensure their direct participation and representation in government and the justice system.","Permanent Residents, Lawful Permanent Residents, Green Card Holders
Non-citizens, Foreign Nationals, Visa Holders
Minors, Children, Under 18"
65,American Government,Rights and Responsibilities,What are three rights of everyone living in the United States?,"Freedom of expression, Freedom of speech, Freedom of assembly, Freedom to petition the government, Freedom of religion, The right to bear arms","Background: The United States Constitution guarantees certain fundamental rights to all individuals living in the country. These rights are often referred to as civil liberties and are protected by law.
Explanation of Answers: These are examples of basic freedoms that individuals in the U.S. have, allowing them to express themselves, gather peacefully, practice their religion, and ask the government for change. The right to bear arms is also a constitutionally protected right.","Freedom to drive, Freedom to build, Freedom to travel
The right to own a car, The right to have a job, The right to live anywhere
Freedom to vote, Freedom to get an education, Freedom to healthcare"
66,American Government,Rights and Responsibilities,What do we show loyalty to when we say the Pledge of Allegiance? *,"The United States, The flag","Background: The Pledge of Allegiance is a promise of loyalty to the United States.
Explanation: When we say the Pledge of Allegiance, we are showing our loyalty to the United States as a nation and to its flag, which symbolizes the country and its values.","The Constitution, The President
The White House, Congress
The Supreme Court, The states"
