Index,Category,SubCategory,Category_AR,SubCategory_AR,Question_EN,Answers_EN,Question_AR,Answers_AR
19,American Government,System of Government,الحكومة األمریكیة,,What are the two parts of the U.S. Congress?,Senate and House (of Representatives),ما ھما فرعا الكونجرس األمريكي؟,مجلس الشيوخ ومجلس النواب
20,American Government,System of Government,الحكومة األمریكیة,,Name one power of the U.S. Congress. *,"Writes laws, Declares war, Makes the federal budget",أذكر سلطة واحدة لمجلس الشيوخ األمريكي )الكونجرس(. *,"صياغة القوانين, إعالن الحرب, وضع الميزانية الفيدرالية"
21,American Government,System of Government,الحكومة األمریكیة,,How many U.S. senators are there?,One hundred (100),كم ھو عدد أعضاء مجلس الشيوخ األمريكي؟,مائة )١٠٠(
22,American Government,System of Government,الحكومة األمریكیة,,How long is a term for a U.S. senator?,Six (6) years,ما هي مدة والية عضو مجلس الشيوخ األمريكي )الكونجرس(.؟,ست )٦( سنوات
23,American Government,System of Government,الحكومة األمریكیة,,Who is one of your state’s U.S. senators now?,Answers will vary. [District of Columbia residents and residents of U.S. territories,,
24,American Government,System of Government,الحكومة األمریكیة,,How many voting members are in the House of Representatives?,Four hundred thirty-five (435),ما هو عدد أعضاء مجلس النواب المصوتين؟,أربعمائة وخمسة وثالثون )٤٣٥(
25,American Government,System of Government,الحكومة األمریكیة,,How long is a term for a member of the House of Representatives?,Two (2) years,ما هي مدة والية عضو مجلس النواب؟,سنتان )٢(
26,American Government,System of Government,الحكومة األمریكیة,,Why do U.S. representatives serve shorter terms than U.S. senators?,To more closely follow public opinion,لماذا يخدم ممثلو الواليات المتحدة فترات أقصر من أعضاء مجلس الشيوخ األمريكي؟,لمتابعة الرأي العام عن كثب أو قرب
27,American Government,System of Government,الحكومة األمریكیة,,How many senators does each state have?,Two (2),كم عدد أعضاء مجلس الشيوخ في كل والية؟,اثنان )٢(
28,American Government,System of Government,الحكومة األمریكیة,,Why does each state have two senators?,"Equal representation (for small states), The Great Compromise (Connecticut Compromise)",لماذا لكل والية أثنان من أعضاء مجلس الشيوخ؟,"التمثيل المتكافئ )للواليات الصغیرة), التسوية الكبرى )تسوية كونیتكون)"
29,American Government,System of Government,الحكومة األمریكیة,,Name your U.S. representative.,Answers will vary. [Residents of territories with nonvoting Delegates or Resident,,
30,American Government,System of Government,الحكومة األمریكیة,,What is the name of the Speaker of the House of Representatives now? *,Visit uscis.gov/citizenship/testupdates for the name of the Speaker of the House,,
31,American Government,System of Government,الحكومة األمریكیة,,Who does a U.S. senator represent?,"Citizens of their state, People of their state",من الذي يمثله عضو مجلس الشيوخ األمريكي )الكونجرس(؟,مواطني واليتهم
32,American Government,System of Government,الحكومة األمریكیة,,Who elects U.S. senators?,Citizens from their state,من ينتخب أعضاء مجلس الشيوخ األمريكي )الكونجرس(؟,مواطنين واليتهم
33,American Government,System of Government,الحكومة األمریكیة,,Who does a member of the House of Representatives represent?,"Citizens in their (congressional) district, Citizens in their district, People from their (congressional) district, People in their district",من يمثل عضو مجلس النواب؟,"المواطنين في مقاطعتهم )الكونجرس(, المواطنين في مقاطعتهم, أشخاص من منطقتهم )الدائرة االنتخابية(, األشخاص في منطقتهم"
34,American Government,System of Government,الحكومة األمریكیة,,Who elects members of the House of Representatives?,Citizens from their (congressional) district,من ينتخب أعضاء مجلس النواب؟,المواطنون في مقاطعتهم )الكونجرس(
35,American Government,System of Government,الحكومة األمریكیة,,Some states have more representatives than other states. Why?,"(Because of) the state’s population, (Because) they have more people, (Because) some states have more people",لماذا یكون لبعض الوالیات أعضاء في مجلس النواب أكثر من أعضاء والیات أخرى؟,")بسبب( عدد (عدد سكا نیة, )بسبب( وجود وجودین خبين, ألن عدد سكان بعض الواليات أكثر من غیرھا"
36,American Government,System of Government,الحكومة األمریكیة,,The President of the United States is elected for how many years? *,Four (4) years,يتم انتخاب رئيس الواليات المتحدة كل؟ *,أربع )٤( سنوات
37,American Government,System of Government,الحكومة األمریكیة,,The President of the United States can serve only two terms. Why?,"(Because of) the 22nd Amendment, To keep the president from becoming too powerful",يمكن لرئيس الواليات المتحدة أن يخدم فترتين فقط. لماذا؟,")بسبب( التعدیل عديلني ثانيشرون, لمنع الرئيس من أن يصبح ذو نفوذ اقوى"
38,American Government,System of Government,الحكومة األمریكیة,,What is the name of the President of the United States now? *,Visit uscis.gov/citizenship/testupdates for the name of the President of the United,,
39,American Government,System of Government,الحكومة األمریكیة,,What is the name of the Vice President of the United States now? *,Visit uscis.gov/citizenship/testupdates for the name of the Vice President of the,,
41,American Government,System of Government,الحكومة األمریكیة,,Name one power of the president.,"Signs bills into law, Vetoes bills, Enforces laws, Commander in Chief (of the military), Chief diplomat, Appoints federal judges",َسمي سلطة واحدة للرئيس.,"التوقيع على مشاريع القوانين لتصبح قوانین ساریة, حق نقض الفیتو )مشاریع القوانال), فرض القوانين, القائد العام )للجيش(, رئيس الدبلوماسيين, يعين القضاة الفيدراليين"
42,American Government,System of Government,الحكومة األمریكیة,,Who is Commander in Chief of the U.S. military?,The President (of the United States),من ھو القائد العام للجيش؟,رئیس )الواليات المتحدة)
43,American Government,System of Government,الحكومة األمریكیة,,Who signs bills to become laws?,The President (of the United States),من يقوم بالتوقيع على مشاريع القوانين لتصبح القوانین ساریة؟,رئیس )الواليات المتحدة)
44,American Government,System of Government,الحكومة األمریكیة,,Who vetoes bills? *,The President (of the United States),من یمتلك حق نقض الفیتو )مشاریع القوانال)؟*,رئیس )الواليات المتحدة)
45,American Government,System of Government,الحكومة األمریكیة,,Who appoints federal judges?,The President (of the United States),من يعين القضاة االتحاديين )الفيدراليين(؟,رئيس )الواليات المتحدة)
46,American Government,System of Government,الحكومة األمریكیة,,The executive branch has many parts. Name one.,"President (of the United States), Cabinet, Federal departments and agencies",تتكون السلطة التنفيذية من عدة أجزاء. َسمي واحد.,"رئيس )الواليات المتحدة), مجلس الوزراء, اإلدارات والوكاالت االتحادية )الفيدرالية("
47,American Government,System of Government,الحكومة األمریكیة,,What does the President’s Cabinet do?,Advises the President (of the United States),ما ھي واجبات مجلس الوزراء تجاه الرئیس؟,تقديم المشورة لرئيس )الواليات المتحدة)
48,American Government,System of Government,الحكومة األمریكیة,,What are two Cabinet-level positions?,"Attorney General, Secretary of Agriculture, Secretary of Commerce, Secretary of Defense, Secretary of Education, Secretary of Energy, Secretary of Health and Human Services, Secretary of Homeland Security, Secretary of Housing and Urban Development, Secretary of the Interior, Secretary of Labor, Secretary of State, Secretary of Transportation, Secretary of the Treasury, Secretary of Veterans Affairs, Vice President (of the United States), Administrator of the Environmental Protection Agency, Administrator of the Small Business Administration, Director of the Central Intelligence Agency, Director of the Office of Management and Budget, Director of National Intelligence, United States Trade Representative",اذكر منصبين )اثنين فقط( بمستوى مجلس الوزراء؟,"وزير الزراعة, وزیر التجارة, وزیر الدفاع, وزیر الثقافة, وزیر الطاقة, وزیر الصحة والخدمات اإلنسانية, وزیر األمن القومي, وزير اإلسكان واإلنماء المدني, وزیر الداخلیة, وزیر الخارجیة, وزیر النقل, وزیر الخزانة, وزير شؤون الجنود السابقين )المحاربين القدامى), وزیر العمل, وزیر العدل, النائب العام, نائب الرئیس, مدير وكالة حماية البيئة, مدير إدارة األعمال الصغيرة, مدير وكالة المخابرات المركزية, مدير مكتب اإلدارة والميزانية, مدير استخبارات المواطن, الممثل التجاري للواليات المتحدة األمريكية"
49,American Government,System of Government,الحكومة األمریكیة,,Why is the Electoral College important?,"It decides who is elected president., It provides a compromise between the popular election of the president and",,
50,American Government,System of Government,الحكومة األمریكیة,,What is one part of the judicial branch?,"Supreme Court, Federal Courts",ما هو أحد أجزاء السلطة القضائية؟,"المحكمة العليا, المحاكم االتحادية )الفيدرالية("
51,American Government,System of Government,الحكومة األمریكیة,,What does the judicial branch do?,"Reviews laws, Explains laws, Resolves disputes (disagreements) about the law, Decides if a law goes against the (U.S.) Constitution",ما ھي واجبات الفرع القضائي؟,"مراجعة القوانین, تفسیر القوانین, حل النزاعات )الخالفات( حول افات (حو"
52,American Government,System of Government,الحكومة األمریكیة,,What is the highest court in the United States? *,Supreme Court,ما ھي أعلى محكمة في الواليات المتحدة؟ *,المحكمة العلیا
53,American Government,System of Government,الحكومة األمریكیة,,How many seats are on the Supreme Court?,Nine (9),كم عدد مقاعد المحكمة العليا؟,تسعة )٩(
54,American Government,System of Government,الحكومة األمریكیة,,How many Supreme Court justices are usually needed to decide a case?,Five (5),ما هو عدد قضاة المحكمة العليا المطلوب عادة للبت في قضية؟,خمسة )٥(
55,American Government,System of Government,الحكومة األمریكیة,,How long do Supreme Court justices serve?,"(For) life, Lifetime appointment, (Until) retirement",ما هي مدة عمل قضاة المحكمة العليا؟,"لمدى الحياة, التعيين مدى الحياة, )لغاية( التقاعد"
56,American Government,System of Government,الحكومة األمریكیة,,Supreme Court justices serve for life. Why?,"To be independent (of politics), To limit outside (political) influence",لماذا يخدم قضاة المحكمة العليا مدى الحياة.؟,
57,American Government,System of Government,الحكومة األمریكیة,,Who is the Chief Justice of the United States now?,Visit uscis.gov/citizenship/testupdates for the name of the Chief Justice of the,,
58,American Government,System of Government,الحكومة األمریكیة,,Name one power that is only for the federal government.,"Print paper money, Mint coins, Declare war, Create an army, Make treaties, Set foreign policy",حدد سلطة واحدة مخصصة للحكومة الفيدرالية فقط.,"طباعة النقود الورقية, عمالت سك العملة, إعالن الحرب, إنشاء الجيش, عقد المعاهدات, وضع السياسة الخارجية"
59,American Government,System of Government,الحكومة األمریكیة,,Name one power that is only for the states.,"Provide schooling and education, Provide protection (police), Provide safety (fire departments), Give a driver’s license, Approve zoning and land use",َسمي سلطة واحدو تابعت للولالول.,"تامین التدریس و التعلیم, تأمین الحمایة )الشرطة(, تأمین السالمة )قسم الإالإط), منح إجازة السياقة, الموافقة على تقسيم المناطق أو األراضي واستخدامھا"
60,American Government,System of Government,الحكومة األمریكیة,,What is the purpose of the 10th Amendment?,(It states that the) powers not given to the federal government belong to the,,
61,American Government,System of Government,الحكومة األمریكیة,,Who is the governor of your state now? *,Answers will vary. [District of Columbia residents should answer that D.C. does not,,
62,American Government,System of Government,الحكومة األمریكیة,,What is the capital of your state?,Answers will vary. [District of Columbia residents should answer that D.C. is not a,,
63,American Government,Rights and Responsibilities,الحكومة األمریكیة,,There are four amendments to the U.S. Constitution about who can vote.,,,
65,American Government,Rights and Responsibilities,الحكومة األمریكیة,,What are three rights of everyone living in the United States?,"Freedom of expression, Freedom of speech, Freedom of assembly, Freedom to petition the government, Freedom of religion, The right to bear arms",ما هي الحقوق الثالثة لكل شخص يعيش في الواليات المتحدة؟,"حریة التعبیر, حریة الكالم, حرية االجتماع, حق االعتراض على الحكومة, حریة الدین, حق حيازة السالح"
66,American Government,Rights and Responsibilities,الحكومة األمریكیة,,What do we show loyalty to when we say the Pledge of Allegiance? *,"The United States, The flag",إلى َمن نظھر الوالء عندما نردد قسم الوالء؟*,"الوالیات المتحدة, العلم األمريكي"
67,American Government,Rights and Responsibilities,الحكومة األمریكیة,,Name two promises that new citizens make in the Oath of Allegiance.,"Give up loyalty to other countries, Defend the (U.S.) Constitution, Obey the laws of the United States, Serve in the military (if needed)",,
68,American Government,Rights and Responsibilities,الحكومة األمریكیة,,How can people become United States citizens?,,,
69,American Government,Rights and Responsibilities,الحكومة األمریكیة,,What are two examples of civic participation in the United States?,"Vote, Run for office, Join a political party, Help with a campaign, Join a civic group, Join a community group, Give an elected official your opinion (on an issue), Contact elected officials, Support or oppose an issue or policy, Write to a newspaper",اذكر مثالين على المشاركة المدنية في الواليات المتحدة؟,"التصويت, الترشيح لمنصب, االنضمام إلى حزب سياسي, المساعدة في حملة ما, االنضمام إلى مجموعة مدنية, االنضمام إلى مجموعة مجتمعية, إبداء الرأي )بخصوص قضیة ما) يةسؤول مسؤول, االتصال بالمسؤولين المنتخبين, دعم أو معارضة قضية أو سياسة, الكتابة إلحدى الصحف"
70,American Government,Rights and Responsibilities,الحكومة األمریكیة,,What is one way Americans can serve their country?,"Vote, Pay taxes, Obey the law, Serve in the military, Run for office",,
71,American Government,Rights and Responsibilities,الحكومة األمریكیة,,Why is it important to pay federal taxes?,"Required by law, All people pay to fund the federal government, Required by the (U.S.) Constitution (16th Amendment), Civic duty",لماذا من المهم دفع الضرائب االتحادية؟,"مطلوب بموجب القانون, يدفع الناس لتمويل الحكومة الفيدرالية, مطلوب بموجب دستور )الواليات المتحدة) المتحدة السادس (شر), واجب مدني"
72,American Government,Rights and Responsibilities,الحكومة األمریكیة,,It is important for all men age 18 through 25 to register for the Selective Service.,,,
73,American History,Colonial Period and Independence,التاريخ الأمريكي,,The colonists came to America for many reasons. Name one.,"Freedom, Political liberty, Religious freedom, Economic opportunity, Escape persecution",جاء المستعمرون إلى أمريكا ألسباب عديدة. َسمي واحداً منھا.,"الحرية, الحرية السياسية, الحرية الدينية, الفرص االقتصادية, الهروب من االضطهاد"
74,American History,Colonial Period and Independence,التاريخ الأمريكي,,Who lived in America before the Europeans arrived? *,"American Indians, Native Americans",٧٤ .من كاك یعیع في أمأمري قبق وصوص الألأوروبيي*,"الھنود األمریكیون, األمريكيون األصليون"
75,American History,Colonial Period and Independence,التاريخ الأمريكي,,What group of people was taken and sold as slaves?,"Africans, People from Africa",أي مجموعة من الناس تم أخذھا إلى أمريكا وبیعھا كـ عبيد؟,"األفارقة, أشخاص من افریقیا"
76,American History,Colonial Period and Independence,التاريخ الأمريكي,,What war did the Americans fight to win independence from Britain?,"American Revolution, The (American) Revolutionary War, War for (American) Independence",ً اي حرب خاضها االميركيون لنيل االستقالل عن بريطانيا؟,"الثورة األمريكية, الحرب الثورية )األمريكية(, الحرب من أجل االستقالل )األمريكي("
77,American History,Colonial Period and Independence,التاريخ الأمريكي,,Name one reason why the Americans declared independence from Britain.,"High taxes, Taxation without representation",,
78,American History,Colonial Period and Independence,التاريخ الأمريكي,,Who wrote the Declaration of Independence? *,(Thomas) Jefferson,من كتب بيان إعالن االستقالل؟ *,)توماس( جفرسون
79,American History,Colonial Period and Independence,التاريخ الأمريكي,,When was the Declaration of Independence adopted?,,,
80,American History,Colonial Period and Independence,التاريخ الأمريكي,,The American Revolution had many important events. Name one.,"(Battle of) Bunker Hill, Declaration of Independence, Washington Crossing the Delaware (Battle of Trenton), (Battle of) Saratoga, Valley Forge (Encampment), (Battle of) Yorktown (British surrender at Yorktown)",شهدت الثورة األمريكية العديد من األحداث الهامة. َسمي واحدة.,")معركة( بنكر (بن, إعالن االستقالل, عبور واشنطن ديالوير )معركة ترینتتر), )معركة( ساراتوجا, فالي فورج )معسكر(, )معركة( یوركتاون (استسلام تاون) استسلا فا یوركتاون)"
81,American History,Colonial Period and Independence,التاريخ الأمريكي,,There were 13 original states. Name five.,"New Hampshire, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Delaware, Maryland, Virginia, North Carolina, South Carolina, Georgia",كانت توجد ١٣ والیة رئیسیة. اذكر خمساً منھا.,"نیو ھامبشیر, ماساتشوستس, رود ايالند, كونیتیكت, نیویورك, نیوجیرسي, بنسلفانيا, دیالویر, میري الند, فرجینیا, كارولينا الشمالية, كارولينا الجنوبية, جورجیا"
82,American History,Colonial Period and Independence,التاريخ الأمريكي,,What founding document was written in 1787?,(U.S.) Constitution,ما هي الوثيقة التأسيسية التي تمت كتابتها عام ١٧٨٧؟,دستور الواليات المتحدة
83,American History,Colonial Period and Independence,التاريخ الأمريكي,,The Federalist Papers supported the passage of the U.S. Constitution. Name,,,
84,American History,Colonial Period and Independence,التاريخ الأمريكي,,Why were the Federalist Papers important?,"They helped people understand the (U.S.) Constitution., They supported passing the (U.S.) Constitution.",لماذا كانت األوراق الفيدرالية مهمة؟,"ساعدت الناس على فهم دستور )الواليات المتحدة), دعمت تمرير دستور )الواليات المتحدة)"
85,American History,Colonial Period and Independence,التاريخ الأمريكي,,Benjamin Franklin is famous for many things. Name one.,"Founded the first free public libraries, First Postmaster General of the United States, Helped write the Declaration of Independence, Inventor, U.S. diplomat",أشتهر بنجامين فرانكلين بعدة أمور. َسمي واحداً منھا.,"أسس أول المكتبات العامة المجانية, كان أول مدير عام لمكتب البريد للواليات المتحدة, ساعد في كتابة إعالن االستقالل, المخترع, دبلوماسي أمريكي"
86,American History,Colonial Period and Independence,التاريخ الأمريكي,,George Washington is famous for many things. Name one. *,"“Father of Our Country”, First president of the United States, General of the Continental Army, President of the Constitutional Convention",اشتهر جورج واشنطن بعدة أشياء. َسمي واحداً منھا. .,
87,American History,Colonial Period and Independence,التاريخ الأمريكي,,Thomas Jefferson is famous for many things. Name one.,"Writer of the Declaration of Independence, Third president of the United States, Doubled the size of the United States (Louisiana Purchase), First Secretary of State, Founded the University of Virginia, Writer of the Virginia Statute on Religious Freedom",اشتهر توماس جيفرسون بعدة أشياء. َسمي واحداً منھا.,"كاتب إلعالن االستقالل, الرئيس الثالث للواليات المتحدة, ضاعف حجم الواليات المتحدة )شراء لویزلويز), وزير الخارجية األول, أسس جامعة فيرجينيا, كاتب قانون فيرجينيا بشأن الحرية الدينية"
88,American History,Colonial Period and Independence,التاريخ الأمريكي,,James Madison is famous for many things. Name one.,"“Father of the Constitution”, Fourth president of the United States, President during the War of 1812, One of the writers of the Federalist Papers",اشتهر جيمس ماديسون بعدة أشياء. َسمي واحداً منھا.,
89,American History,Colonial Period and Independence,التاريخ الأمريكي,,Alexander Hamilton is famous for many things. Name one.,"First Secretary of the Treasury, One of the writers of the Federalist Papers, Helped establish the First Bank of the United States, Aide to General George Washington, Member of the Continental Congress",اشتهر الكسندر هاملتون بعدة أشياء. َسمي واحداً منھا.,"أول سكرتير للخزانة, أحد مؤلفي األوراق الفيدرالية, ساعد في إنشاء أول بنك للواليات المتحدة, مساعد الجنرال جورج واشنطن, عضو في الكونجرس القاري"
90,American History,1800s,التاريخ الأمريكي,,What territory did the United States buy from France in 1803?,"Louisiana Territory, Louisiana",ما ھي األراضي التي اشترتھا الوالیات المتحدة من فرنسا في سنة ١٨٠٣؟,"مقاطعة لویزیانا, لویزیانا"
91,American History,1800s,التاريخ الأمريكي,,Name one war fought by the United States in the 1800s.,"War of 1812, Mexican-American War, Civil War, Spanish-American War",اذكر اسم إحدى الحروب التي خاضتھا الوالیات المتحدة في سنوات الـ ١٨٠٠,"حرب ١٨١٢, الحرب األمریكیة - المكسیكیة, الحرب األھلیة, الحرب األمریكیة - اإلسبانية"
92,American History,1800s,التاريخ الأمريكي,,Name the U.S. war between the North and the South.,The Civil War,٩٢ .اذكر اسم الحرا الأمالأمر بین الشمال والجوال,الحرب األھلیة
93,American History,1800s,التاريخ الأمريكي,,The Civil War had many important events. Name one.,"(Battle of) Fort Sumter, Emancipation Proclamation, (Battle of) Vicksburg, (Battle of) Gettysburg, Sherman’s March, (Surrender at) Appomattox, (Battle of) Antietam/Sharpsburg, Lincoln was assassinated.",شهدت الحرب األهلية العديد من األحداث الهامة. َسمي واحداً منھا.,")معركة( فورت (فور أس حصن سمحص, إعالن تحرير العبيد, )معركة( فیكسبیرغ, )معركة( جیتیسبیرغ, مسيرة شيرمان, )استسالم في) سلاماتوكس, )معركة( أنتیتام / يتام/ بورج, اغتيال لنكولن."
94,American History,1800s,التاريخ الأمريكي,,Abraham Lincoln is famous for many things. Name one. *,"Freed the slaves (Emancipation Proclamation), Saved (or preserved) the Union, Led the United States during the Civil War, 16th president of the United States, Delivered the Gettysburg Address",اشتهر ابراهام لنكولن بعدة أشياء. َسمي واحداً منھا. .,"حرر العبيد )إعالن تحریر العبیا), أنقذ )أو حاحا) على ل ىتحاد, قاد الواليات المتحدة خالل الحرب األهلية, الرئيس السادس عشر للواليات المتحدة, ألقى خطاب جيتيسبيرغ"
95,American History,1800s,التاريخ الأمريكي,,What did the Emancipation Proclamation do?,"Freed the slaves, Freed slaves in the Confederacy, Freed slaves in the Confederate states, Freed slaves in most Southern states",٩٥ .إلى ماذم أدى إعلاع التالتحر,"تحریر العبید, تحرير العبيد في الواليات اإلحدى عشر التي انفصلت عن أمریكا, تحرير العبيد في الواليات المتحالفة, تحریر العبید في معظم الوالیات الجنوبیة"
96,American History,1800s,التاريخ الأمريكي,,What U.S. war ended slavery?,The Civil War,أي حرب أمريكية أنهت العبودية؟,الحرب األهلية
98,American History,1800s,التاريخ الأمريكي,,When did all men get the right to vote?,"After the Civil War, During Reconstruction, (With the) 15th Amendment, 1870",متى ِا ْستْوفى جميع الرجال حق التصويت؟,"بعد الحرب األهلية, أثناء إعادة اإلعمار, )مع( التعدیل يلخامس مسر"
99,American History,1800s,التاريخ الأمريكي,,Name one leader of the women’s rights movement in the 1800s.,"Susan B. Anthony, Elizabeth Cady Stanton, Sojourner Truth, Harriet Tubman, Lucretia Mott, Lucy Stone",َسمي أحد قادة حركة حقوق المرأة في القرن التاسع عشر.,"سوزان ب. أنتوني, إليزابيث كادي ستانتون, سوجورنر تروث, هاریت تو بمان, لوكريتيا موت, لوسي ستون"
100,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,Name one war fought by the United States in the 1900s.,"World War I, World War II, Korean War, Vietnam War, (Persian) Gulf War",اذكر إحدى الحروب التي خاضتھا الوالیات المتحدة في سنوات الـ١٩٠٠,"الحرب العالمیة األولى, الحرب العالمیة الثانیة, الحرب الكورية, حرب فيتنام, حرب الخلیج )الفارسي("
101,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,Why did the United States enter World War I?,Because Germany attacked U.S. (civilian) ships,,
102,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,When did all women get the right to vote?,"1920, After World War I, (With the) 19th Amendment",متى اكتسبت النساء على حق التصويت؟,
103,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,What was the Great Depression?,Longest economic recession in modern history,ماذا كان الكساد العظيم؟,أطول ركود اقتصادي في التاريخ الحديث
104,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,When did the Great Depression start?,"The Great Crash (1929), Stock market crash of 1929",متى بدأ الكساد العظيم؟,"االنهيار العظيم )١٩٢٩(, انهيار سوق األسهم عام ١٩٢٩"
105,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,Who was president during the Great Depression and World War II?,(Franklin) Roosevelt,١٠٥ .من كاك الالرئ أثأثن الالكس أو الالرك الالاقتصا الالكب واوالح الالعالم الالثانی,)فرانكلين( روزفلت
106,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,Why did the United States enter World War II?,"(Bombing of) Pearl Harbor, Japanese attacked Pearl Harbor",,
107,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,Dwight Eisenhower is famous for many things. Name one.,"General during World War II, President at the end of (during) the Korean War, 34th president of the United States, Signed the Federal-Aid Highway Act of 1956 (Created the Interstate System)",اشتهر دوايت أيزنهاور بعدة أشياء. َسمي واحداً منھا.,"جنرال أثناء الحرب العالمية الثانية., الرئيس في نهاية )أثناء( الحرب الحربیة, الرئيس الرابع والثالثين للواليات المتحدة, وقع على قانون الطرق السريعة الفيدرالية لعام ١٩٥٦ )إنشاء النظاا بین ملولاالو)"
108,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,Who was the United States’ main rival during the Cold War?,"Soviet Union, USSR, Russia",من كان المنافس الرئيسي للواليات المتحدة خالل الحرب الباردة؟,اإلتحاد السوفيتي
110,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,Why did the United States enter the Korean War?,To stop the spread of communism,لماذا دخلت الواليات المتحدة الحرب الكورية؟,لوقف انتشار الشيوعية
111,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,Why did the United States enter the Vietnam War?,To stop the spread of communism,لماذا دخلت الواليات المتحدة حرب فيتنام؟,لوقف انتشار الشيوعية
112,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,What did the civil rights movement do?,Fought to end racial discrimination,ماذا فعلت حركة الحقوق المدنية؟,حاربت من أجل إنهاء التمييز العنصري
